"","x"
"1","L"
"2","BRANIG"
"3","ENCCAL"
"4","BROMAD"
"5","FESMYU"
"6","B"
"7","BROHOR"
"8","EROCIC"
"9","D(ENCCAL)"
"10","AVEFAT"
"11","EROMOS"
"12","ANAARV"
"13","ERIFAS"
"14","SONASP"
"15","ARTCAL"
"16","TH"
"17","DPL(ARTCAL)"
"18","FESPER"
"19","HORMUR"
"20","R"
"21","CENMEL"
"22","PICECH"
"23","UNK BABY 1"
"24","UNK HOPPY"
"25","UNK 02 STICKY"
"26","UNK 02"
"27","PHAAGU"
"28","UNK 03"
"29","SALMEL"
"30","DEIFAS"
"31","SOLAM? SPP."
"32","UNK 04"
"33","PHAAQU"
"34","PSESTR"
"35","UNK STICKY 3"
"36","SILGAL"
"37","SALTRA"
"38","CHEMUR"
"39","D(ARTCAL)"
"40","MEDPOL"
"41","STICKY UNK"
"42","UNK PURPLE"
"43","UNK 01"
"44","S"
"45","D(ERIFAS)"
"46","NICGLA"
"47","DAUSPP"
"48","FLUFFY GRASS"
"49","LUPSPP"
"50","SONOLE"
"51","UNK 06"
"52","AMSMEN"
"53","DPL(ENCCAL)"
"54","PHADIS"
"55","DPL(SALMEL)"
"56","UNK 05"
"57","RICCOM"
"58","D(UNK SPRAWLING BULB)"
"59","PHACELIA SPP"
"60","UNK PURPLE UNDER COTYLEDON"
"61","UNK PURPLE COTYL"
"62","PSECAL"
"63","URTDIO"
"64","ASCLEP SPP"
"65","PHACELIA CILIATA"
"66","UNK SM FUZZ CRUMPLY"
"67","GALAPA"
"68","UNK 01 PURPLE UNDERSIDE"
"69","BROSPC"
"70","STIPUL"
"71","FESMUE"
"72","STEDIE"
"73","V(ARTCAL)"
"74","V(ENCCAL)"
"75","ARTICAL"
"76","PIRECH"
"77","CALCIL"
"78","UNK(FORB)"
"79","DPL(STIPUL)"
"80","EROSPP"
"81","PICCEH"
"82","URTURE"
"83","AVESPP"
"84","EROFAS"
"85","BROSPP"
"86","EROSMOS"
"87","CONBON"
"88","BROHUR"
"89","UNK GRASS"
"90","POLAVI"
"91","PHAMIN"
"92","V(ERIFAS)"
"93","PHACIL"
"94","AVEBAR"
"95","SILMAR"
"96","UNK grass"
"97","D(BRANIG)"
"98",NA
"99","W"
"100","D(EROSPP)"
"101","CENMEN"
"102","D(UNK grass)"
"103","BACPIL"
"104","F"
"105","UNKgrass1"
"106","UNKgrass2"
"107","Unk"
"108","SILENESPP"
"109","EROSB"
"110","T"
